column,row,GT_kg_id,GT_kg_label,label
1,73,Q62730,Das Boot,Das Boot
1,13,Q104814,Aliens,Aliens
1,35,Q780016,L\\'Atalante,L'Atalante
1,29,Q182692,Apocalypse Now,Apocalypse Now
1,72,Q291170,Boogie Nights,Boogie Nights
1,37,Q514531,L\\'Avventura,L'Avventura
1,19,Q18428,Amarcord,Amarcord
1,22,Q375855,American Graffiti,American Graffiti
1,77,Q162729,Braveheart,Braveheart
1,61,Q110043,The Birds,The Birds
1,52,Q945074,Being There,Being There
1,33,Q59317,Arsenic and Old Lace,Arsenic and Old Lace
1,84,Q188718,The Bridge on the River Kwai,The Bridge on the River Kwai
1,85,Q814296,Brief Encounter,Brief Encounter
1,20,Q484048,Amélie,Am?lie
1,71,Q181776,Bonnie and Clyde,Bonnie and Clyde
1,46,Q166262,Batman Begins,Batman Begins
1,41,Q230552,Back to the Future Part III,Back to the Future Part III
1,63,Q221384,Black Hawk Down,Black Hawk Down
1,26,Q960125,Animal House,Animal House
1,60,Q1137931,The Big Sleep,The Big Sleep
1,70,Q109767,The Blues Brothers,The Blues Brothers
1,67,Q237222,Blood Simple,Blood Simple
1,27,Q233464,Annie Hall,Annie Hall
1,3,Q162331,The 400 Blows,The 400 Blows
1,1,Q103474,2001: A Space Odyssey,2001: A Space Odyssey
1,38,Q720724,Babe,Babe
1,8,Q325662,"Aguirre, the Wrath of God",Aguirre: The Wrath of God
1,76,Q896103,Boyz n the Hood,Boyz N the Hood
1,30,Q106428,Apollo 13,Apollo 13
1,74,Q471159,Born on the Fourth of July,Born on the Fourth of July
1,40,Q109331,Back to the Future Part II,Back to the Future Part II
1,34,Q221594,As Good as It Gets,As Good as It Gets
1,7,Q384397,The African Queen,The African Queen
1,44,Q237215,Barton Fink,Barton Fink
1,62,Q220394,The Birth of a Nation,The Birth of a Nation
1,75,Q165394,Bowling for Columbine,Bowling for Columbine
1,6,Q201234,The Adventures of Robin Hood,The Adventures of Robin Hood
1,59,Q337078,The Big Lebowski,The Big Lebowski
1,49,Q164103,A Beautiful Mind,A Beautiful Mind
1,23,Q208572,American History X,American History X
1,5,Q352431,Adaptation,Adaptation.
1,66,Q957323,Blazing Saddles,Blazing Saddles
1,31,Q208344,Armageddon,Armageddon
1,48,Q152350,Battleship Potemkin,The Battleship Potemkin
1,68,Q658204,Blowup,Blow-Up
1,10,Q1569177,Akira,Akira
1,9,Q497256,Airplane!,Airplane!
1,11,Q215518,Aladdin,Aladdin
1,51,Q649165,Being John Malkovich,Being John Malkovich
1,14,Q200299,All About Eve,All about Eve
1,81,Q538412,Breaking the Waves,Breaking the Waves
1,78,Q25057,Brazil,Brazil
1,53,Q470375,Belle de Jour,Belle de Jour
1,32,Q471992,Army of Darkness,Army of Darkness
1,57,Q858467,Big,Big
1,55,Q645094,The Best Years of Our Lives,The Best Years of Our Lives
1,50,Q179673,Beauty and the Beast,Beauty and the Beast
1,45,Q116852,Batman,Batman
1,58,Q278997,Big Fish,Big Fish
1,69,Q660950,Blue Velvet,Blue Velvet
1,18,Q190956,Amadeus,Amadeus
1,87,Q232000,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid
1,54,Q180098,Ben-Hur,Ben-Hur
1,64,Q184843,Blade Runner,Blade Runner
1,39,Q91540,Back to the Future,Back to the Future
1,4,Q12018,8½,8 1/2
1,43,Q471716,Barry Lyndon,Barry Lyndon
1,82,Q86427,Breathless,Breathless
1,56,Q172837,Bicycle Thieves,The Bicycle Thief
1,2,Q501105,The 39 Steps,The 39 Steps
1,65,Q644554,The Blair Witch Project,The Blair Witch Project
1,79,Q193066,Breakfast at Tiffany\\'s,Breakfast at Tiffany's
1,0,Q2345,12 Angry Men,12 Angry Men
1,17,Q726294,Almost Famous,Almost Famous
1,42,Q799202,Badlands,Badlands
1,47,Q189054,Batman Returns,Batman Returns
1,36,Q501703,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery
1,24,Q474098,Amores perros,Amores perros
1,15,Q272599,All Quiet on the Western Front,All Quiet on the Western Front
1,16,Q466781,All the President\\'s Men,All the President's Men
1,21,Q1774631,American Beauty,American Beauty
1,12,Q103569,Alien,Alien
1,86,Q179743,Bringing Up Baby,Bringing Up Baby
1,80,Q499152,The Breakfast Club,The Breakfast Club
1,83,Q875904,Bride of Frankenstein,Bride of Frankenstein
1,28,Q270510,The Apartment,The Apartment
1,25,Q503046,Andrei Rublev,Andrei Rublev
