column,row,GT_kg_id,GT_kg_label,label
0,153,Q194413,Pearl Harbor,Pearl Harbor
0,185,Q820753,School of Rock,"School of Rock , The"
0,73,Q23395,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas
0,143,Q838154,My Cousin Vinny,My Cousin Vinny
0,89,Q47703,The Godfather,"Godfather, The"
0,289,Q139326,The Wrestler,"Wrestler, The"
0,248,Q1419797,Tommy,Tommy
0,40,Q206886,A Civil Action,"Civil Action, A"
0,15,Q320236,Be Kind Rewind,Be Kind Rewind
0,96,Q1534298,Grand Prix,Grand Prix
0,127,Q83495,The Matrix,"Matrix, The"
0,53,Q1972779,Deja Vu,Deja Vu
0,35,Q40115,Chasing Amy,Chasing Amy
0,0,Q169082,10 Things I Hate About You,10 Things I Hate About You
0,144,Q1956926,"Mystery, Alaska","Mystery, Alaska"
0,129,Q190525,Memento,Memento
0,176,Q832728,Rounders,Rounders
0,45,Q212098,Closer,Closer
0,218,Q498442,Spaceballs,Speed
0,161,Q2119348,The Producers,"Producers, The"
0,181,Q328442,Santa Claus Conquers the Martians,Santa Claus Conquers the Martians
0,137,Q25043,Monty Python and the Holy Grail,Monty Python and the Holy Grail
0,113,Q79503,Juno,Juno
0,154,Q2293972,Pee-Wee\\'s Big Adventure,Pee-wee's Big Adventure
0,241,Q840872,Thank You for Smoking,Thank You for Smoking
0,180,Q1347393,Rushmore,Rushmore
0,70,Q222720,Fargo,Fargo
0,228,Q17738,Star Wars Episode IV: A New Hope,Star Wars: Episode IV - A New Hope
0,21,Q221384,Black Hawk Down,Black Hawk Down
0,61,Q105702,Dr. Strangelove,Dr. Strangelove
0,276,Q1059532,Volcano,Volcano
0,19,Q372299,Billy Madison,Billy Madison
0,36,Q189889,Chicago,Chicago
0,286,Q936327,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory
0,212,Q133654,The Silence of the Lambs,"Silence of the Lambs , The"
0,75,Q108946,A Few Good Men,"Few Good Men , A"
0,9,Q1774631,American Beauty,American Beauty
0,116,Q2511460,The Kids Are Alright,"Kids Are Alright, The"
0,2,Q222867,2 Fast 2 Furious,2 Fast 2 Furious
0,112,Q898465,Jesus Christ Superstar,Jesus Christ Superstar
0,30,Q165394,Bowling for Columbine,Bowling for Columbine
0,91,Q2875,Gone with the Wind,Gone with the Wind
0,43,Q604268,Climb Dance,Climb Dance
0,274,Q549889,Varsity Blues,Varsity Blues
0,24,Q74958,Blood Diamond,Blood Diamond
0,69,Q289598,Falling Down,Falling Down
0,64,Q2717048,Eight Crazy Nights,Eight Crazy Nights
0,126,Q1125282,Man on the Moon,Man on the Moon
0,149,Q1044523,Office Space,Office Space
0,170,Q487181,Requiem for a Dream,Requiem for a Dream
0,147,Q223374,The Notebook,"Notebook, The"
0,121,Q484675,Léon: The Professional,L?on The Professional
0,57,Q40187,Dogma,Dogma
0,266,Q308929,Training Day,Training Day
0,5,Q2363062,3 Ninjas,3 Ninjas
0,92,Q786562,The Good Shepherd,"Good Shepherd, The"
0,78,Q23668835,Finding Neverland,Finding Neverland
0,117,Q222800,Knocked Up,Knocked Up
0,133,Q1041929,Milk,Milk
0,134,Q29584344,Michael Mantenuto,Miracle
0,146,Q1145848,Not Another Teen Movie,Not Another Teen Movie
0,282,Q1133316,The Wedding Singer,"Wedding Singer , The"
0,51,Q603696,Days of Thunder,Days of Thunder
0,236,Q486954,Swordfish,Swordfish
0,177,Q3107519,Rudy,Rudy
0,23,Q957323,Blazing Saddles,Blazing Saddles
0,85,Q202211,Gandhi,Gandhi
0,84,Q243439,Full Metal Jacket,Full Metal Jacket
0,74,Q498906,Ferris Bueller\\'s Day Off,Ferris Bueller's Day Off
0,245,Q177922,To Kill a Mockingbird,To Kill a Mockingbird
0,227,Q42051,Star Wars: Episode III – Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith
0,209,Q182944,Shakespeare in Love,Shakespeare in Love
0,11,Q106428,Apollo 13,Apollo 13
0,42,Q3725901,Clifford,Clifford
0,6,Q2278298,7 Television Commercials,7 Television Commercials
0,110,Q1138620,Jackass Number Two,Jackass Number Two
0,168,Q1049095,Rent,Rent
0,17,Q278997,Big Fish,Big Fish
0,122,Q48980,Liar Liar,Liar Liar
0,27,Q105624,The Bourne Identity,"Bourne Identity, The"
0,249,Q644041,Tommy Boy,Tommy Boy
0,37,Q221090,Children of Men,Children of Men
0,124,Q107270,Lost in Translation,Lost in Translation
0,33,Q132689,Casablanca,Casablanca
0,139,Q24980,Monty Python\\'s The Meaning of Life,Monty Python's The Meaning of Life
0,244,Q1216770,The Thomas Crown Affair,"Thomas Crown Affair, The"
0,235,Q1779139,Super Troopers,Super Troopers
0,22,Q644554,The Blair Witch Project,"Blair Witch Project, The"
0,280,Q743292,The War Room,"War Room, The"
0,223,Q1663240,Spun,Spun
0,59,Q640450,Doubt,Doubt
0,132,Q16248197,The Mighty Ducks,"Mighty Ducks, The"
0,38,Q556933,A Christmas Story,"Christmas Story, A"
0,111,Q832190,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back
0,31,Q25057,Brazil,Brazil
0,151,Q1055332,The Outsiders,"Outsiders , The"
0,165,Q188845,Rain Man,Rain Man
0,77,Q1140439,Finding Forrester,Finding Forrester
0,140,Q564893,Mr. Holland\\'s Opus,Mr. Holland's Opus
0,238,Q1421593,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby
0,141,Q7752741,The Music Man,"Music Man, The"
0,63,Q217182,Edward Scissorhands,Edward Scissorhands
0,72,Q155476,The Fast and the Furious,"Fast and the Furious , The"
0,20,Q1160005,The Birdcage,"Birdcage, The"
0,87,Q59931,Garden State,Garden State
0,93,Q193835,Good Will Hunting,Good Will Hunting
0,76,Q190050,Fight Club,Fight Club
0,104,Q1473804,High Fidelity,High Fidelity
0,277,Q303862,Waiting...,Waiting...
0,131,Q2474634,Men with Brooms,Men with Brooms
0,271,Q108525,The Untouchables,"Untouchables, The"
0,102,Q765356,Hart\\'s War,Hart's War
0,150,Q171669,One Flew Over the Cuckoo\\'s Nest,One Flew Over the Cuckoo's Nest
0,98,Q1198799,The Great Gatsby,"Great Gatsby, The"
0,166,Q117696,Remember the Titans,Remember the Titans
0,174,Q517265,Romeo and Juliet,Romeo and Juliet
0,267,Q214801,The Truman Show,"Truman Show , The"
0,65,Q271006,Enemy at the Gates,Enemy at the Gates
0,71,Q1576873,Fast & Furious,Fast & Furious
0,187,Q663528,Searching for Bobby Fischer,Searching for Bobby Fischer
0,272,Q132351,The Usual Suspects,"Usual Suspects, The"
0,214,Q1752478,Slap Shot,Slap Shot
0,13,Q166262,Batman Begins,Batman Begins
0,94,Q42047,Goodfellas,Goodfellas
0,105,Q695389,I Heart Huckabees,I Heart Huckabees
0,99,Q488655,Groundhog Day,Groundhog Day
0,34,Q151904,Casino Royale,Casino Royale
0,138,Q24953,Monty Python’s Life of Brian,Monty Python's Life of Brian
0,55,Q172975,The Departed,"Departed, The"
0,79,Q134773,Forrest Gump,Forrest Gump
0,281,Q504697,WarGames,WarGames
0,62,Q53703,Drop Dead Fred,Drop Dead Fred
0,243,Q7810384,This Is Spinal Tap,This Is Spinal Tap
0,186,Q190908,Seven,Se7en
0,268,Q2254287,Truth in 24,Truth in 24
0,278,Q213683,Pink Floyd – The Wall,"Wall, The"
0,171,Q72962,Reservoir Dogs,Reservoir Dogs
0,290,Q106182,X-Men,X-Men
