column,row,GT_kg_id,GT_kg_label,label
1,85,Q168154,Once Upon a Time in the West,Once Upon a Time in the West
1,1,Q104123,Pulp Fiction,Pulp Fiction
1,44,Q162729,Braveheart,Braveheart
1,91,Q521387,The Manchurian Candidate,The Manchurian Candidate
1,7,Q47221,Taxi Driver,Taxi Driver
1,4,Q17738,Star Wars Episode IV: A New Hope,Star Wars
1,9,Q182692,Apocalypse Now,Apocalypse Now
1,87,Q47075,Scarface,Scarface
1,28,Q132351,The Usual Suspects,The Usual Suspects
1,58,Q190525,Memento,Memento
1,54,Q41483,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly"
1,60,Q105598,Die Hard,Die Hard
1,38,Q233464,Annie Hall,Annie Hall
1,34,Q228186,Lawrence of Arabia,Lawrence of Arabia
1,23,Q220780,Raging Bull,Raging Bull
1,86,Q181776,Bonnie and Clyde,Bonnie and Clyde
1,21,Q202548,Vertigo,Vertigo
1,37,Q186341,The Shining,The Shining
1,65,Q190956,Amadeus,Amadeus
1,67,Q104137,Unforgiven,Unforgiven
1,12,Q172241,The Shawshank Redemption,The Shawshank Redemption
1,2,Q24815,Citizen Kane,Citizen Kane
1,40,Q103569,Alien,Alien
1,17,Q171669,One Flew Over the Cuckoo\\'s Nest,One Flew over the Cuckoo's Nest
1,80,Q200299,All About Eve,All about Eve
1,18,Q181086,A Clockwork Orange,A Clockwork Orange
1,41,Q190908,Seven,Seven
1,3,Q184768,The Godfather Part II,The Godfather: Part II
1,30,Q223139,North by Northwest,North by Northwest
1,22,Q644987,Chinatown,Chinatown
1,14,Q181795,The Empire Strikes Back,The Empire Strikes Back
1,78,Q588420,Magnolia,Magnolia
1,89,Q660950,Blue Velvet,Blue Velvet
1,24,Q1774631,American Beauty,American Beauty
1,50,Q211372,On the Waterfront,On the Waterfront
1,82,Q320588,Close Encounters of the Third Kind,Close Encounters of the Third Kind
1,19,Q189505,Jaws,Jaws
1,16,Q133654,The Silence of the Lambs,The Silence of the Lambs
1,97,Q232000,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid
1,46,Q104814,Aliens,Aliens
1,98,Q61696,Midnight Cowboy,Midnight Cowboy
1,93,Q167726,Jurassic Park,Jurassic Park
1,71,Q128518,Gladiator,Gladiator
1,42,Q217627,The Graduate,The Graduate
1,63,Q177922,To Kill a Mockingbird,To Kill a Mockingbird
1,73,Q164963,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers
1,76,Q3714564,Double indemnity,Double Indemnity
1,31,Q72962,Reservoir Dogs,Reservoir Dogs
1,95,Q506418,The Princess Bride,The Princess Bride
1,10,Q483941,Schindler\\'s List,Schindler's List
1,64,Q188718,The Bridge on the River Kwai,The Bridge on the River Kwai
1,75,Q2345,12 Angry Men,12 Angry Men
1,27,Q165817,Saving Private Ryan,Saving Private Ryan
1,45,Q2875,Gone with the Wind,Gone with the Wind
1,79,Q276769,The Searchers,The Searchers
1,53,Q11621,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial
1,11,Q105702,Dr. Strangelove,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1,81,Q44578,Titanic,Titanic
1,0,Q47703,The Godfather,The Godfather
1,26,Q204191,It\\'s a Wonderful Life,It's a Wonderful Life
1,13,Q163038,Psycho,Psycho
1,61,Q25043,Monty Python and the Holy Grail,Monty Python and the Holy Grail
1,48,Q271830,The Third Man,The Third Man
1,77,Q131074,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
1,52,Q243439,Full Metal Jacket,Full Metal Jacket
1,51,Q339876,L.A. Confidential,L.A. Confidential
1,35,Q190050,Fight Club,Fight Club
1,68,Q201674,The Deer Hunter,The Deer Hunter
1,25,Q222720,Fargo,Fargo
1,49,Q193570,Sunset Boulevard,Sunset Blvd.
1,8,Q103474,2001: A Space Odyssey,2001: A Space Odyssey
1,32,Q193695,The Wizard of Oz,The Wizard of Oz
1,66,Q190643,Platoon,Platoon
1,99,Q337078,The Big Lebowski,The Big Lebowski
1,72,Q162255,The Terminator,The Terminator
1,83,Q183063,The Sixth Sense,The Sixth Sense
1,47,Q309153,Singin\\' in the Rain,Singin' in the Rain
1,74,Q778161,Touch of Evil,Touch of Evil
1,39,Q189540,Seven Samurai,The Seven Samurai
1,59,Q91540,Back to the Future,Back to the Future
1,29,Q184843,Blade Runner,Blade Runner
1,55,Q190086,Some Like It Hot,Some Like It Hot
1,36,Q134773,Forrest Gump,Forrest Gump
1,6,Q132689,Casablanca,Casablanca
1,5,Q42047,Goodfellas,Goodfellas
1,20,Q34414,Rear Window,Rear Window
1,84,Q42198,Heat,Heat
1,15,Q174284,Raiders of the Lost Ark,Raiders of the Lost Ark
1,56,Q221462,The Maltese Falcon,The Maltese Falcon
1,94,Q741823,JFK,JFK
1,92,Q994481,The Wild Bunch,The Wild Bunch
1,43,Q127367,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
1,70,Q25057,Brazil,Brazil
1,62,Q170564,Terminator 2: Judgment Day,Terminator 2: Judgment Day
1,96,Q188652,Rocky,Rocky
1,88,Q426427,...und sowas muß um acht ins Bett,8 1/2
1,69,Q274167,The Exorcist,The Exorcist
1,90,Q171048,Toy Story,Toy Story
1,57,Q181803,Return of the Jedi,Return of the Jedi
1,33,Q83495,The Matrix,The Matrix
