column,row,GT_kg_id,GT_kg_label,label
1,91,Q1357016,Three Kings,Three Kings
1,8,Q189540,Seven Samurai,The Seven Samurai
1,60,Q313315,Tom Jones,Tom Jones
1,13,Q127367,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
1,24,Q1065711,Sullivan\\'s Travels,Sullivan's Travels
1,25,Q506418,The Princess Bride,The Princess Bride
1,2,Q17738,Star Wars Episode IV: A New Hope,Star Wars
1,15,Q171048,Toy Story,Toy Story
1,90,Q336517,The Abyss,The Abyss
1,66,Q144483,The Last of the Mohicans,The Last of the Mohicans
1,21,Q232000,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid
1,74,Q244971,A Trip to the Moon,Voyage to the Moon
1,63,Q199839,The Jungle Book,The Jungle Book
1,53,Q125772,Solaris,Solaris
1,38,Q4341553,Pinocchio,Pinocchio
1,28,Q167726,Jurassic Park,Jurassic Park
1,80,Q51416,Men in Black,Men in Black
1,96,Q626483,Tron,Tron
1,36,Q108297,Spartacus,Spartacus
1,87,Q760012,Gunga Din,Gunga Din
1,59,Q105387,Independence Day,Independence Day
1,45,Q1125262,Mad Max 2,The Road Warrior
1,14,Q44578,Titanic,Titanic
1,92,Q1042931,The Man Who Would Be King,The Man Who Would be King
1,83,Q1077160,Gallipoli,Gallipoli
1,32,Q155653,Spirited Away,Spirited Away
1,65,Q867283,The Iron Giant,The Iron Giant
1,11,Q309048,King Kong,King Kong
1,39,Q1133647,Red River,Red River
1,47,Q494722,Stand by Me,Stand by Me
1,48,Q19069,The Magnificent Seven,The Magnificent Seven
1,79,Q39571,My Neighbor Totoro,My Neighbor Totoro
1,1,Q193695,The Wizard of Oz,The Wizard of Oz
1,46,Q108745,Ghostbusters,Ghostbusters
1,43,Q1292513,Superman,Superman
1,5,Q276769,The Searchers,The Searchers
1,4,Q11621,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial
1,52,Q132863,Finding Nemo,Finding Nemo
1,3,Q228186,Lawrence of Arabia,Lawrence of Arabia
1,12,Q188718,The Bridge on the River Kwai,The Bridge on the River Kwai
1,31,Q110354,The Great Escape,The Great Escape
1,78,Q698111,Fitzcarraldo,Fitzcarraldo
1,70,Q208266,Out of Africa,Out of Africa
1,33,Q181803,Return of the Jedi,Return of the Jedi
1,89,Q104905,WALL·E,WALL?E
1,75,Q102754,Dr. No,Dr. No
1,61,Q478626,Starship Troopers,Starship Troopers
1,85,Q187726,"Monsters, Inc.","Monsters, Inc."
1,0,Q103474,2001: A Space Odyssey,2001: A Space Odyssey
1,95,Q463716,The Thief of Bagdad,The Thief of Bagdad
1,41,Q187266,Toy Story 2,Toy Story 2
1,7,Q223139,North by Northwest,North by Northwest
1,35,Q325662,"Aguirre, the Wrath of God",Aguirre: The Wrath of God
1,29,Q201234,The Adventures of Robin Hood,The Adventures of Robin Hood
1,51,Q720724,Babe,Babe
1,69,Q156309,The Fugitive,The Fugitive
1,56,Q213326,The Incredibles,The Incredibles
1,77,Q186572,Princess Mononoke,Princess Mononoke
1,68,Q228591,Zulu,Zulu
1,97,Q463716,The Thief of Bagdad,The Thief of Bagdad
1,84,Q248775,Mad Max,Mad Max
1,37,Q20456,Dances with Wolves,Dances with Wolves
1,99,Q106571,From Russia with Love,From Russia with Love
1,55,Q786996,To Have and Have Not,To Have and Have Not
1,64,Q185658,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade
1,76,Q670439,Raising Arizona,Raising Arizona
1,10,Q181795,The Empire Strikes Back,The Empire Strikes Back
1,17,Q251559,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre
1,94,Q102438,Harry Potter and the Philosopher\\'s Stone,Harry Potter and the Sorcerer's Stone
1,40,Q59534,Planet of the Apes,Planet of the Apes
1,9,Q83495,The Matrix,The Matrix
1,58,Q746733,The Ten Commandments,The Ten Commandments
1,26,Q25043,Monty Python and the Holy Grail,Monty Python and the Holy Grail
1,22,Q384397,The African Queen,The African Queen
1,50,Q1197185,The Right Stuff,The Right Stuff
1,49,Q814778,Deliverance,Deliverance
1,98,Q785555,Jason and the Argonauts,Jason and the Argonauts
1,62,Q329709,Mutiny on the Bounty,Mutiny on the Bounty
1,42,Q36479,The Lion King,The Lion King
1,44,Q483815,Shrek,Shrek
1,18,Q131074,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
1,86,Q221090,Children of Men,Children of Men
1,93,Q179215,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom
1,67,Q106428,Apollo 13,Apollo 13
1,57,Q501703,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery
1,54,Q46717,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
1,82,Q221113,A.I. Artificial Intelligence,A.I.: Artificial Intelligence
1,34,Q106440,Goldfinger,Goldfinger
