0	1	http://www.wikidata.org/entity/Q1318465
1	1	http://www.wikidata.org/entity/Q1872524
5	1	http://www.wikidata.org/entity/Q46807
6	1	http://www.wikidata.org/entity/Q3214299
7	1	http://www.wikidata.org/entity/Q6735687
8	1	http://www.wikidata.org/entity/Q2732186
9	1	http://www.wikidata.org/entity/Q3246100
10	1	http://www.wikidata.org/entity/Q164746
11	1	http://www.wikidata.org/entity/Q30315633
12	1	http://www.wikidata.org/entity/Q9684
13	1	http://www.wikidata.org/entity/Q2129720
15	1	http://www.wikidata.org/entity/Q1023924
16	1	http://www.wikidata.org/entity/Q39681
17	1	http://www.wikidata.org/entity/Q208875
18	1	http://www.wikidata.org/entity/Q483903
20	1	http://www.wikidata.org/entity/Q6805930
