Name,Date,Previous Names,Capital,Government,Languages
Anguilla,,,The Valley,Colony (UK),
Antigua and Barbuda,,,Saint John's,,English
Aruba,,,Oranjestad,Colony (Netherlands),
Bahamas,,,Nassau,Constitutional Monarchy,English
Barbados,,,Bridgetown,Constitutional Monarchy,English
Belize,1840,British Honduras,Belmopan,Republic,English Spanish Yucatec
Bermuda,,,Hamilton,Colony (UK),
British Virgin Islands,,,Road Town,Colony (UK),
Canada,,,Ottawa,Federal Monarchy,English French many others
Cayman Islands,,,Georgetown,Colony (UK),
Costa Rica,1838,,San Jose,Republic,Spanish
Cuba,1902,,Havana,One Party State,Spanish
Dominica,,,Roseau,Constitutional Monarchy,
Dominican Republic,,Hispaniola,Santo Domingo,Republic,Spanish
El Salvador,1838,,San Salvador,Republic,Spanish
Grenada,,,Saint George's,Constitutional Monarchy,English
Guadeloupe,,,Basse-Terre,Colony (France),
Guatemala,1524,,Guatemala City,Republic,Spanish Quiche Cakchiqul Mam Kekchi
Haiti,,,Port-au-Prince,Military Dictatorship,French
Honduras,1838,,Tegucigalpa,Republic,Spanish Lenca English
Jamaica,,,Kingston,Constitutional Monarchy,English
Martinique,,,Port-de-France,Colony (France),
Mexico,1821,,Mexico City,Federal Republic,Spanish Nahuatl Yucatec many others
Montserrat,,,Plymouth,Colony (UK),
Navassa Island,,,,Colony (USA),
Netherlands Antilles,,,Willemstad,Colony (Netherlands),Dutch Papiamento
Nicaragua,1838,,Mangua,Republic,Spanish
Panama,1903,Colombia,Panama City,Republic,Spanish Cuna
Peter Island,,,,Colony (Norway),
Puerto Rico,,,San Juan,Dependency (USA),Spanish English
Saint Kitts and Nevis,,,Basseterre,Constitutional Monarchy,
Saint Lucia,,,Castries,Constitutional Monarchy,
Saint Vincent and the Grenadines,,,Kingstown,Constitutional Monarchy,
St Helena,,,Jamestown,Colony (UK),
St Pierre and Miquelon,,,St Pierre,Colony (France),
Trinidad and Tobago,,,,Constitutional Monarchy,English
Turks and Caicos Islands,,,Cockburn,Colony (UK),
United States of America,1776,,Washington DC,Federal Republic,English Spanish French many others
Virgin Islands,,,Charlotte Amalie,Colony (USA),

--------------------------------------------------------------------------------

