Name,Date,Previous Names,Capital,Government,Languages
Aland Islands,1921,,Mariehamn,Dependency (Finland),Swedish
Albania,1912,,Tirane,Republic,Albanian
Andorra,1278,,Andorra La Vella,Republic,Catalan
Armenia,190BC 1991,,Yerevan,Republic,Armenian Azeri
Austria,1919,Austria-Hungary,Vienna,Federal Republic,German
Azerbaijan,1991,,Baku,Republic,Azeri
Belarus,1991,Byelorussia,Minsk,One Party State,Belarussian
Belgium,1830,Spanish Netherlands,Brussels,Constitutional Monarchy,French Flemish
Bosnia-Hercegovina,1994,Yugoslavia Austria-Hungary Ottoman Empire,Sarajevo,Republic,Croatian Serbian
Bulgaria,681,,Sofia,Republic,Bulgarian Turkish
Croatia,,Yugoslavia Austria-Hungary,Zagreb,Republic,Croatian
Cyprus,1960,,Nicosia,Republic,Greek Turkish
Czech Republic,1993,Czechoslovakia Austia-Hungary,Prague,Republic,Czech
Denmark,c950,,Copenhagan,Constitutional Monarchy,Danish
Estonia,1918,,Tallinn,Republic,Estonian Russian
Faeroe Islands,,,Torshavn,Dependency (Denmark),Faeroes
Finland,1917,,Helsinki,Republic,Finnish Swedish
France,486,Frankish Kingdom West Frankish Kingdom,Paris,Republic,French Provencial Breton Basque German
Georgia,c500BC,,Tbilisi,Republic,Georgian
Germany,1871,Frankish Kingdom East Frankish Kingdom Holy Roman Empire,Berlin,Federal Republic,German Sorbian Danish
Gibraltar,1713,,Gibraltar,Colony (UK),English Spanish
Greece,c1000BC 1830,,Athens,Republic,Greek Turkish
Greenland,,,Nuuk,Dependency (Denmark),
Guernsey,,,St Peter Port,Dependency (UK),
Hungary,c1000,Austria-Hungary,Budapest,Republic,Hungarian
Iceland,930,,Reykjavik,Republic,Icelandic
Ireland,1921,,Dublin,Republic,English Gaelic
Isle of Man,,,Douglas,Dependency (UK),
Italy,1861,,Rome,Republic,Italian Sardinian
Jan Mayen,,,,Colony (Norway),
Jersey,,,St Helier,Dependency (UK),
Kosova,2008,Serbia and Montenegro Yugoslavia,Pristina,Republic,Albanian Serbian
Latvia,1920,,Riga,Republic,Latvian
Lichtenstein,,,Vaduz,Principality,German
Lithuania,1009 1918,Prussia,Vilnius,Republic,Lithuanian
Luxembourg,1815,,Luxembourg City,Dutchy,German
Macedonia,,Yugoslavia Ottoman Empire,Skopje,Republic,Macedonian
Malta,1964,,Valletta,Republic,Maltese English
Moldova,1991,Moldavia Bessarabia,Chisinau,Republic,Moldavian
Monaco,1215,,Monaco,Principality,French
Montenegro,2006,Serbia and Montenegro Yugoslavia Ottoman Empire,Podgorica,Republic,Serbian
Netherlands,1579,,Amsterdam,Constitutional Monarchy,Dutch Frisian
Norway,c800 1905,,Oslo,Constitutional Monarchy,Norwegian
Poland,966,,Warsaw,Republic,Polish Kashubian
Portugal,1143,,Lisbon,Republic,Portuguese
Romania,1878,Wallachia Moldavia,Bucharest,Republic,Romanian Hungarian
Russia,862,Soviet Union,Moscow,Federal Republic,Russian many others
San Marino,301,,San Marino,Republic,Italian
Serbia,2006,Serbia and Montenegro Yugoslavia Ottoman Empire,Belgrade,Republic,Serbian
Slovakia,1993,Czechoslovakia Austia-Hungary,Bratislava,Republic,Slovak Hungarian
Slovenia,1990,Yugoslavia Austria-Hungary,Ljubljana,Republic,Slovene
Spain,1492,Castille Aragon Navarre,Madrid,Constitutional Monarchy,Spanish Catalan Basque Galician
Svalbard,,,Longyearbyen,Dependency (Norway),
Sweden,c1050,,Stockholm,Constitutional Monarchy,Swedish
Switzerland,1291,,Bern,Federal Republic,German French Italian Romansh
Turkey,1923,Ottoman Empire Byzantine Empire,Ankara,Republic,Turkish Kurdish Arabic
Ukraine,1991,Soviet Union,Kiev,Republic,Ukrainian Russian
United Kingdom,1801,England Scotland Wales,London,Constitutional Monarchy,English Welsh Gaelic
Vatican City,c330 1927,Papal States,Vatican City,Theocracy,Italian

--------------------------------------------------------------------------------

{"context":{"version":3,"page_title":"KryssTal : Countries of the World","page_url":"http://www.krysstal.com/countries.html","entities":[],"literals":[],"content_hierarchy":[{"level":1,"heading":{"text":"","element":{"root":0,"nodes":[{"tag":"","start":0,"end":0,"attrs":{}}],"node2children":[[]]}},"content_before":[{"text":"Islands in the Mediterranean Sea. Islands in the North Atlantic and Arctic Oceans; West of the Caspian Sea; West of the Ural Mountains in the Eurasian continent; 59 countries and territories Europe and the Mediterranean \" /> Support this web site by making a donation google_color_text = \"000000\"; google_color_url = \"008000\"; google_color_link = \"0000FF\"; google_color_bg = \"D3D3D3\"; google_color_border = \"000000\"; google_ad_channel =\"\"; google_ad_type = \"text\"; google_ad_format = \"160x600_as\"; google_ad_height = 600; google_ad_width = 160; google_ad_client = \"pub-3099042624744828\"; Countries of the World A complete table of the 249 countries and territories of the world by continent. [Home Page] [Other Page] [Inventions]","element":{"root":0,"nodes":[{"tag":"","start":0,"end":729,"attrs":{}}],"node2children":[[]]}}],"content_after":[{"text":"Asia and the Indian Ocean 45 countries and territories East of the Ural Mountains of the Eurasian continent; Islands off the east and south coast ; Islands in the central regions of the Indian Ocean. Name Date Previous Names Capital Government Languages Afghanistan 1747   Kabul No effective government Farsi Pashto Uzbek Bahrain 1971   Manama Absolute Monarchy Arabic Bangladesh 1971 East Pakistan Dhaka Republic Bengali Urdu Bhutan     Thimphu Theocratic Monarchy Jonkha British Indian Ocean Territory     Diego Garcia Colony (UK)   Brunei c650   Bandar Seri Begawan Absolute Monarchy Malay Burma (Myanmar) 1948   Rangoon Military Dictatorship Burmese Karen Shan Cambodia c800 Kampuchea Phnom Penh Republic Khmer French Vietnamese China c1500BC Carthay Beijing One Party State Mandarin Cantonese Fukien Wu Tibetan Uigur East Timor 2002   Dili Republic Portuguese India c2500BC 1948 Moghul Empire New Delhi Federal Republic Hindi Urdu Punjabi Kashmiri Gujarati Bengali Assamese Oriya Marathi Kannada Telugu Tamil Malayalam English many others Indonesia c400 East Indes Jakarta Republic Indonesian Javanese Sundanese Madurese Minagkabau Achinese Batak Buginese many others Iran","element":{"root":0,"nodes":[{"tag":"","start":0,"end":1187,"attrs":{}}],"node2children":[[]]}}]}]},"links":[[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]],[[],[],[],[],[],[]]]}
